Order TYPE,Order Number,Ship-To store,Ship to Name,Date Entered,Order Line,CAT,Barcode,Name,Ordered Quantity,UOM,Remark
ประเภท RT,RT number,Ship to ID,ชื่อ Store,วันที่ออก RT,order Line ที่เท่าไหร่,หมวดสินค้า,รหัสบาร์โค้ด,ชื่อบาร์โค้ด,จำนวนสินค้า,หน่วยสินค้า EA = Each,หมายเหตุ
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,1,Kitchenware,9000101188684,โหลฝาแก้ว8ปอนด์(ฮงเส็ง) P1I4,1,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,2,Kitchenware,9000101057386,กระทะเกาหลี40ซม.ร่ม P1I12,8,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,3,Kitchenware,1032,ถาดแขก60ซม.ร่ม P1I12,1,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,4,Kitchenware,1031,ถาดแขก55ซม.ร่ม P1I24,1,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,5,Kitchenware,9000101058413,ถาดแขก50ซม.ร่ม P1I24,2,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,6,Kitchenware,9000101057942,หม้อด้าม16ซม.ร่ม P1I12,3,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,7,Kitchenware,9000101058178,โหลเหลี่ยม8ปอนด์F.F P1I6,1,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,8,Kitchenware,9000101058048,โหลจันทร์แก้ว5นิ้วF.F P1I30,1,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,9,Kitchenware,9000101058185,โหลเหลี่ยม12ปอนด์F.F P1I6,1,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,10,Kitchenware,9000101057461,กาน้ำ21ซม.พีเจ้น P1I12,10,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,11,Kitchenware,9000101117530,กาน้ำ19ซม.พีเจ้น P1I12,3,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,12,Kitchenware,9000101190120,หม้อหูหิ้ว26ซม.รถยนต์ P1I12,1,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,13,Kitchenware,9000101058000,หม้อลาว26ซม.รถยนต์ P1I12,3,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,14,Kitchenware,1029,ถาดแขก45ซม.ร่ม P1I24,1,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,15,Kitchenware,9000101058413,ถาดแขก50ซม.ร่ม P1I24,1,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,16,Kitchenware,1031,ถาดแขก55ซม.ร่ม P1I24,1,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,17,Kitchenware,9000101057973,หม้อลาว20ซม.รถยนต์ P1I12,1,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,18,Kitchenware,9000101058116,โหลสูง4.5นิ้ว P1I12,1,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,19,Kitchenware,9000101058314,กะละมัง36ซม.ร่ม P1I36,2,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,20,Kitchenware,9000101057966,หม้อไฟ22ซม.พีเจ้น P1I12,4,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,21,Kitchenware,9000101083422,หม้อด้าม21ซม.พีเจ้น P1I12,1,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,22,Kitchenware,9000101210514,หม้อแขก22ซม.พีเจ้น P1I24,8,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,23,Kitchenware,4966,โถข้าว22ซม.พีเจ้น P1I12,7,ใบ,
THRV,DBN255808/0027,01000035 ,ไท้เส็งเฮง,27/08/2558 08:31:39,24,Kitchenware,9000101057980,หม้อลาว22ซม.รถยนต์ P1I12,7,ใบ,
THDO,DBV255808/0070,01000132 ,บจก. เพาเวอร์ เมลัน,27/08/2558 08:08:58,1,Grocery,9000101195019,ลูกเหม็น ATM ชุดตะแกรง 60ก. P6I4,152,อันx6,
THRV,DBV255808/0071,01001265 ,บจก. จารุธาชัย,27/08/2558 08:13:09,1,Home Furnishing,44494,เทียนคู่สั้น ลายพิกุล 33 cm. No.15 P2I20,31,แพ็ค,
THRV,DBV255808/0071,01001265 ,บจก. จารุธาชัย,27/08/2558 08:13:09,2,Home Furnishing,44495,เทียนคู่สั้น ลายมังกร 33 cm. No.15 P2I20,11,แพ็ค,
THRV,DBV255808/0071,01001265 ,บจก. จารุธาชัย,27/08/2558 08:13:09,3,Home Furnishing,44496,เทียนคู่ 70 cm. No.16 P2I10,64,แพ็ค,
THRV,DBV255808/0071,01001265 ,บจก. จารุธาชัย,27/08/2558 08:13:09,4,Home Furnishing,44497,เทียนพรรษา 90 cm. No.9-90 P1I1,27,ต้น,
THRV,DBV255808/0071,01001265 ,บจก. จารุธาชัย,27/08/2558 08:13:09,5,Home Furnishing,44498,เทียนพรรษา 100 cm. No.12-100 P1I1,26,ต้น,
THRV,DBV255808/0071,01001265 ,บจก. จารุธาชัย,27/08/2558 08:13:09,6,Home Furnishing,8858975101008,เทียนเหลือง 51 เล่ม No.21 P1I24,9,แพ็ค,
THRV,DBV255808/0072,01000827 ,บจก. จงไทยเจริญโปรดักส์,27/08/2558 08:22:04,1,Home Furnishing,8851201001868,ชั้นแขวนแชมพู CP-007 P12I4,1,*โหล,
THRV,DBV255808/0072,01000827 ,บจก. จงไทยเจริญโปรดักส์,27/08/2558 08:22:04,2,Home Furnishing,8851201001844,ตะกร้าใส่ของมีแผ่นกั้นB-500 P12I6,2,*โหล,
THRV,DBV255808/0072,01000827 ,บจก. จงไทยเจริญโปรดักส์,27/08/2558 08:22:04,3,Home Furnishing,8851201001585,ชั้นวางของซ้อนได้ B-508 P12I4,1,*โหล,
THRV,DBV255808/0072,01000827 ,บจก. จงไทยเจริญโปรดักส์,27/08/2558 08:22:04,4,Home Furnishing,8851201001547,กระจาดซ้อนได้ B-507 P12I4,1,*โหล,
THRV,DBV255808/0073,01000018 ,บจก. แกรนด์ไลท์ เอ็นเตอร์ไพรส์,27/08/2558 08:46:46,1,Small Appliance,8851854102554,พัดลมตั้งโต๊ะ12 นิ้ว ใบใสAIKO # AK-1299 P1I1,2,ตัว,
THRV,DBV255808/0073,01000018 ,บจก. แกรนด์ไลท์ เอ็นเตอร์ไพรส์,27/08/2558 08:46:46,2,Small Appliance,15368,ไดร์เป่าผม AIKO # OL-1400S  P1I24,1,เครื่อง,
THRV,DBV255808/0074,01001375 ,ร้าน ชูศรี พานิช,27/08/2558 08:49:55,1,Home Furnishing,8854211990047,สังฆทานชุดเสริมยาเล็ก+พระ No.SPT004 P1I18,24,ชุด,
THRV,DBV255808/0075,01001047 ,บจก. ลอรีส,27/08/2558 08:59:10,1,Cosmetic,8850512101519,ออด๊าซครีมย้อมผมดำธรรมชาติ 13 กรัม P1I24,108,กล่อง,
THRV,DBV255808/0076,01000219 ,บจก. สหเมธีมาร์เก็ตติ้ง,27/08/2558 09:01:08,1,Home Furnishing,9000101348897,ตะกร้าโชกุนเกรดA-P9899/3  P1I12,2,ใบ,
THRV,DBV255808/0076,01000219 ,บจก. สหเมธีมาร์เก็ตติ้ง,27/08/2558 09:01:08,2,Home Furnishing,9000101349061,ถังน้ำ+ฝาP728 P1I12,1,ใบ,
THRV,DBV255808/0076,01000219 ,บจก. สหเมธีมาร์เก็ตติ้ง,27/08/2558 09:01:08,3,Home Furnishing,9000101162059,กระติกซัยโจ 10 P1I6,3,ใบ,
THRV,DBV255808/0076,01000219 ,บจก. สหเมธีมาร์เก็ตติ้ง,27/08/2558 09:01:08,4,Home Furnishing,9000101161281,ที่ใส่แก้ว 523 (12ช่อง) P1I36,1,ใบ,
THRV,DBV255808/0076,01000219 ,บจก. สหเมธีมาร์เก็ตติ้ง,27/08/2558 09:01:08,5,Home Furnishing,9000101349009,เหยือกน้ำเหลี่ยมสูงP705 P1I12,1,ใบ,
THRV,DBV255808/0076,01000219 ,บจก. สหเมธีมาร์เก็ตติ้ง,27/08/2558 09:01:08,6,Home Furnishing,9000101349078,ถังน้ำ+ฝาP728PO P1I12,1,ใบ,
THDO,RT255808/03240,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 14:43:24,1,Small Appliance,8851854411182,แก๊สกระป๋องALTA#AL-103/AIKO#GC1000 P3I8,32,แพ็ค,Small app. TMCW...Ordering
THDO,RT255808/03240,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 14:43:24,2,Small Appliance,8851854102554,พัดลมตั้งโต๊ะ12 นิ้ว ใบใสAIKO # AK-1299 P1I1,3,ตัว,Small app. TMCW...Ordering
THDO,RT255808/03241,0201 ,ขายหน้าร้าน(TMZR),27/08/2558 14:45:16,1,Small Appliance,8851854411182,แก๊สกระป๋องALTA#AL-103/AIKO#GC1000 P3I8,72,แพ็ค,Small app. TMZR...Ordering
THDO,RT255808/03241,0201 ,ขายหน้าร้าน(TMZR),27/08/2558 14:45:16,2,Small Appliance,8851854106422,พัดลมMINI TURBO 6นิ้ว AIKO # AVF-006  P1I18,18,เครื่อง,Small app. TMZR...Ordering
THDO,RT255808/03241,0201 ,ขายหน้าร้าน(TMZR),27/08/2558 14:45:16,3,Small Appliance,8851854106392,พัดลมTURBO AIKO 10 นิ้ว#AVF-210 P1I6,6,เครื่อง,Small app. TMZR...Ordering
THDO,RT255808/03241,0201 ,ขายหน้าร้าน(TMZR),27/08/2558 14:45:16,4,Small Appliance,8851854102554,พัดลมตั้งโต๊ะ12 นิ้ว ใบใสAIKO # AK-1299 P1I1,3,ตัว,Small app. TMZR...Ordering
THDO,RT255808/03241,0201 ,ขายหน้าร้าน(TMZR),27/08/2558 14:45:16,5,Small Appliance,8851854106491,พัดลมเทอร์โบ Aiko 10 นิ้ว #AVF-110 P1I6,6,เครื่อง,Small app. TMZR...Ordering
THDO,RT255808/03242,0301 ,ขายหน้าร้าน(TMRI),27/08/2558 14:46:25,1,Small Appliance,8851854411182,แก๊สกระป๋องALTA#AL-103/AIKO#GC1000 P3I8,40,แพ็ค,Small app. TMRI...Ordering
THDO,RT255808/03242,0301 ,ขายหน้าร้าน(TMRI),27/08/2558 14:46:25,2,Small Appliance,8851854106392,พัดลมTURBO AIKO 10 นิ้ว#AVF-210 P1I6,6,เครื่อง,Small app. TMRI...Ordering
THDO,RT255808/03242,0301 ,ขายหน้าร้าน(TMRI),27/08/2558 14:46:25,3,Small Appliance,8851854102554,พัดลมตั้งโต๊ะ12 นิ้ว ใบใสAIKO # AK-1299 P1I1,5,ตัว,Small app. TMRI...Ordering
THDO,RT255808/03243,0501 ,ขายหน้าร้าน(TMBY),27/08/2558 14:48:02,1,Small Appliance,8851854411182,แก๊สกระป๋องALTA#AL-103/AIKO#GC1000 P3I8,40,แพ็ค,Small app. TMBY...Ordering
THDO,RT255808/03243,0501 ,ขายหน้าร้าน(TMBY),27/08/2558 14:48:02,2,Small Appliance,8851854106392,พัดลมTURBO AIKO 10 นิ้ว#AVF-210 P1I6,6,เครื่อง,Small app. TMBY...Ordering
THDO,RT255808/03243,0501 ,ขายหน้าร้าน(TMBY),27/08/2558 14:48:02,3,Small Appliance,8851854102554,พัดลมตั้งโต๊ะ12 นิ้ว ใบใสAIKO # AK-1299 P1I1,3,ตัว,Small app. TMBY...Ordering
THDO,RT255808/03244,0601 ,ขายหน้าร้าน(TMRB),27/08/2558 14:49:17,1,Small Appliance,8851854106392,พัดลมTURBO AIKO 10 นิ้ว#AVF-210 P1I6,6,เครื่อง,Small app. TMRB...Ordering
THDO,RT255808/03244,0601 ,ขายหน้าร้าน(TMRB),27/08/2558 14:49:17,2,Small Appliance,8851854102554,พัดลมตั้งโต๊ะ12 นิ้ว ใบใสAIKO # AK-1299 P1I1,3,ตัว,Small app. TMRB...Ordering
THDO,RT255808/03244,0601 ,ขายหน้าร้าน(TMRB),27/08/2558 14:49:17,3,Small Appliance,8851854106491,พัดลมเทอร์โบ Aiko 10 นิ้ว #AVF-110 P1I6,6,เครื่อง,Small app. TMRB...Ordering
THDO,RT255808/03245,0701 ,ขายหน้าร้าน(TMSC),27/08/2558 14:50:25,1,Small Appliance,8851854411182,แก๊สกระป๋องALTA#AL-103/AIKO#GC1000 P3I8,24,แพ็ค,Small app. TMSC...Ordering
THDO,RT255808/03245,0701 ,ขายหน้าร้าน(TMSC),27/08/2558 14:50:25,2,Small Appliance,8851854106392,พัดลมTURBO AIKO 10 นิ้ว#AVF-210 P1I6,12,เครื่อง,Small app. TMSC...Ordering
THDO,RT255808/03245,0701 ,ขายหน้าร้าน(TMSC),27/08/2558 14:50:25,3,Small Appliance,8851854102554,พัดลมตั้งโต๊ะ12 นิ้ว ใบใสAIKO # AK-1299 P1I1,7,ตัว,Small app. TMSC...Ordering
THDO,RT255808/03245,0701 ,ขายหน้าร้าน(TMSC),27/08/2558 14:50:25,4,Small Appliance,8851854106491,พัดลมเทอร์โบ Aiko 10 นิ้ว #AVF-110 P1I6,6,เครื่อง,Small app. TMSC...Ordering
THDO,RT255808/03246,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 15:48:21,1,Grocery,8850002022805,Hผงซักฟอก108shop 300 กรัม P36I1,50,ถุงx36,Order ด่วน!! Grocery TMCW
THDO,RT255808/03247,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 16:55:21,1,Hardlines & Tools,9000101120011,แปรงลูกกลิ้ง7นิ้ว P1I120,120,อัน,Hardlines  TMCW  ตัดตาม Ordering 27/8/58
THDO,RT255808/03247,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 16:55:21,2,Hardlines & Tools,9000101230482,เคเบิ้ลไทน์ 10นิ้ว P100I1,20,แพ็ค,Hardlines  TMCW  ตัดตาม Ordering 27/8/58
THDO,RT255808/03247,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 16:55:21,3,Hardlines & Tools,9000101129588,โซดาไฟ P1I20,40,กิโลกรัม,Hardlines  TMCW  ตัดตาม Ordering 27/8/58
THDO,RT255808/03247,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 16:55:21,4,Hardlines & Tools,9000101072495,ขาจับหลอดเกลียวแบบเหล็ก3ม.P1I24,48,ตัว,Hardlines  TMCW  ตัดตาม Ordering 27/8/58
THDO,RT255808/03247,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 16:55:21,5,Hardlines & Tools,9000101252576,สายยางเขียว 5/8 นิ้ว 10 เมตร P1I1,12,ม้วน,Hardlines  TMCW  ตัดตาม Ordering 27/8/58
THDO,RT255808/03247,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 16:55:21,6,Hardlines & Tools,9000101301359,โซดาไฟอย่างดีตราช้างคู่ P1I24,24,ถุง,Hardlines  TMCW  ตัดตาม Ordering 27/8/58
THDO,RT255808/03247,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 16:55:21,7,Hardlines & Tools,8855167062512,ซีลวาเนีย อัลตราลองไลฟ์ AA แพ็ค 4 (104014) P4I15,30,แพ็ค,Hardlines  TMCW  ตัดตาม Ordering 27/8/58
THDO,RT255808/03247,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 16:55:21,8,Hardlines & Tools,9000101251982,เกียง PVC สี่เหลี่ยมฟ้าตราช้าง P1I60,60,อัน,Hardlines  TMCW  ตัดตาม Ordering 27/8/58
THDO,RT255808/03247,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 16:55:21,9,Hardlines & Tools,8855167063175,ซีลวาเนีย ไลฟ์แม็กซ์ AA แพ็ค 4 (104002) P4I15,15,แพ็ค,Hardlines  TMCW  ตัดตาม Ordering 27/8/58
THDO,RT255808/03248,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 17:00:58,1,Toys,8851543126700,บอลสีถุงใหญ่ WD/333A P1I1,20,ถุง,TOYS  TMCW  ตัดตาม Ordering 27/8/58
THDO,RT255808/03248,0101 ,ขายหน้าร้าน(TMCW),27/08/2558 17:00:58,2,Toys,8858729209257,ลูกขนไก่ตราม้าNo.H-1011 P12I1,36,หลอด,TOYS  TMCW  ตัดตาม Ordering 27/8/58
